"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R211121","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R221137","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R221147","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R276024","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R280335","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R369483","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R194641","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195587","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R198663","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R198833","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R193108","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R193406","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195005","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195224","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195519","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R199149","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R228229","analysis","descriptive",,,"inductive reasoning"
"http://orkg.org/orkg/resource/R228229","analysis","descriptive",,,"matrix traceability method"
"http://orkg.org/orkg/resource/R211188","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R211294","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R211467","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R220618","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R221187","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R280747","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R285816","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R369339","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R556363","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R194895","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R195153","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R195806","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R578020","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R578027","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R229340","analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R369483","analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R198663","analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R195005","analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R287825","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R211121","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R229340","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R276024","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R369483","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R193357","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R194054","analysis","descriptive",,,"open coding"
