"paper","year","dc_label","experiment","case_study","secondary_research","survey","action_research","interview","study"
"http://orkg.org/orkg/resource/R280335","2010","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R280798","2009","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R194139","2020","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R194237","2019","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R194431","2019","survey",,,,"online questionnaire",,,
"http://orkg.org/orkg/resource/R194954","2018","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R195153","2018","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R195201","2018","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R195551","2017","survey",,,,"online survey",,,
"http://orkg.org/orkg/resource/R195587","2017","survey",,,,"online survey",,,
"http://orkg.org/orkg/resource/R195728","2017","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R195857","2017","survey",,,,"online questionnaire",,,
"http://orkg.org/orkg/resource/R195866","2017","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R195679","2017","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R196021","2017","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R196046","2017","survey",,,,"online survey",,,
"http://orkg.org/orkg/resource/R195124","2018","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R195129","2018","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R198689","2016","survey",,,,"online survey",,,
"http://orkg.org/orkg/resource/R198944","2016","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R200049","2015","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R200106","2015","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R198681","2016","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R193295","2021","survey",,,,"self-administered survey",,,
"http://orkg.org/orkg/resource/R211121","2014","survey",,,,"online survey",,,
"http://orkg.org/orkg/resource/R211302","2014","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R211474","2014","survey",,,,"administered online survey",,,
"http://orkg.org/orkg/resource/R211502","2014","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R220323","2013","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R220845","2012","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R221801","2012","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R221801","2012","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R221801","2012","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R227551","2022","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R228189","2022","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R254508","2011","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R193089","2021","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R254495","2011","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R159690","2011","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R280335","2010","survey",,,,"questionnaire",,,
"http://orkg.org/orkg/resource/R280347","2010","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R280511","2010","survey",,,,"survey",,,
"http://orkg.org/orkg/resource/R281172","2009","survey",,,,"field survey",,,
"http://orkg.org/orkg/resource/R193418","2020","survey",,,,"survey",,,
